2020-10-07 11:02:34,711 INFO    MainThread:32604 [internal.py:wandb_internal():62] W&B internal server running at pid: 32604
2020-10-07 11:02:34,715 DEBUG   HandlerThread:32604 [handler.py:handle_request():54] handle_request: login
2020-10-07 11:02:34,717 DEBUG   SenderThread:32604 [sender.py:send():88] send: request
2020-10-07 11:02:34,718 DEBUG   SenderThread:32604 [sender.py:send_request():97] send_request: login
2020-10-07 11:02:34,732 DEBUG   SenderThread:32604 [connectionpool.py:_new_conn():815] Starting new HTTPS connection (1): api.wandb.ai:443
2020-10-07 11:02:35,442 DEBUG   SenderThread:32604 [connectionpool.py:_make_request():396] https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2020-10-07 11:02:35,446 INFO    SenderThread:32604 [sender.py:send_request_login():144] Login server info: {'cliVersionInfo': {'min_cli_version': '0.8.20', 'max_cli_version': '0.10.4'}}
2020-10-07 11:02:35,450 DEBUG   SenderThread:32604 [sender.py:send():88] send: header
2020-10-07 11:02:35,451 INFO    WriterThread:32604 [datastore.py:open_for_write():76] open: wandb\run-20201007_110232-1f2l0g5u\run-1f2l0g5u.wandb
2020-10-07 11:02:35,452 DEBUG   HandlerThread:32604 [handler.py:handle_request():54] handle_request: check_version
2020-10-07 11:02:35,452 DEBUG   SenderThread:32604 [sender.py:send():88] send: request
2020-10-07 11:02:35,452 DEBUG   SenderThread:32604 [sender.py:send_request():97] send_request: check_version
2020-10-07 11:02:35,458 DEBUG   Thread-14 :32604 [connectionpool.py:_new_conn():815] Starting new HTTPS connection (1): pypi.org:443
2020-10-07 11:02:35,714 DEBUG   Thread-14 :32604 [connectionpool.py:_make_request():396] https://pypi.org:443 "GET /pypi/wandb/json HTTP/1.1" 200 49963
2020-10-07 11:02:35,784 DEBUG   SenderThread:32604 [sender.py:send():88] send: run
2020-10-07 11:02:35,799 DEBUG   SenderThread:32604 [util.py:is_cygwin_git():315] Failed checking if running in CYGWIN due to: FileNotFoundError(2, 'O sistema não pode encontrar o arquivo especificado', None, 2, None)
2020-10-07 11:02:35,817 DEBUG   SenderThread:32604 [cmd.py:execute():719] Popen(['git', 'cat-file', '--batch-check'], cwd=C:\Dev\Studies-and-Researches, universal_newlines=False, shell=None, istream=<valid stream>)
2020-10-07 11:02:36,115 DEBUG   SenderThread:32604 [connectionpool.py:_new_conn():815] Starting new HTTPS connection (1): api.wandb.ai:443
2020-10-07 11:02:36,399 DEBUG   SenderThread:32604 [connectionpool.py:_make_request():396] https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2020-10-07 11:02:36,435 DEBUG   HandlerThread:32604 [handler.py:handle_request():54] handle_request: run_start
2020-10-07 11:02:36,451 INFO    SenderThread:32604 [dir_watcher.py:__init__():149] watching files in: wandb\run-20201007_110232-1f2l0g5u\files
2020-10-07 11:02:36,451 INFO    SenderThread:32604 [sender.py:_start_run_threads():454] run started: 1f2l0g5u with start time 1602079355
2020-10-07 11:02:36,451 DEBUG   SenderThread:32604 [sender.py:send():88] send: summary
2020-10-07 11:02:36,452 INFO    SenderThread:32604 [sender.py:_save_file():532] saving file wandb-summary.json with policy end
2020-10-07 11:02:36,462 DEBUG   HandlerThread:32604 [cmd.py:execute():719] Popen(['git', 'cat-file', '--batch-check'], cwd=C:\Dev\Studies-and-Researches, universal_newlines=False, shell=None, istream=<valid stream>)
2020-10-07 11:02:36,691 DEBUG   HandlerThread:32604 [cmd.py:execute():719] Popen(['git', 'rev-parse', '--show-toplevel'], cwd=C:\Dev\Studies-and-Researches, universal_newlines=False, shell=None, istream=None)
2020-10-07 11:02:37,121 DEBUG   SenderThread:32604 [sender.py:send():88] send: files
2020-10-07 11:02:37,121 INFO    SenderThread:32604 [sender.py:_save_file():532] saving file wandb-metadata.json with policy now
2020-10-07 11:02:37,122 DEBUG   HandlerThread:32604 [handler.py:handle_request():54] handle_request: status
2020-10-07 11:02:37,123 DEBUG   SenderThread:32604 [sender.py:send():88] send: request
2020-10-07 11:02:37,123 DEBUG   SenderThread:32604 [sender.py:send_request():97] send_request: status
2020-10-07 11:02:37,132 DEBUG   SenderThread:32604 [connectionpool.py:_new_conn():815] Starting new HTTPS connection (1): api.wandb.ai:443
2020-10-07 11:02:37,153 DEBUG   Thread-23 :32604 [connectionpool.py:_new_conn():815] Starting new HTTPS connection (1): api.wandb.ai:443
2020-10-07 11:02:37,381 DEBUG   SenderThread:32604 [connectionpool.py:_make_request():396] https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2020-10-07 11:02:37,404 DEBUG   Thread-23 :32604 [connectionpool.py:_make_request():396] https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2020-10-07 11:02:37,414 DEBUG   Thread-23 :32604 [connectionpool.py:_new_conn():815] Starting new HTTPS connection (1): storage.googleapis.com:443
2020-10-07 11:02:37,456 INFO    Thread-18 :32604 [dir_watcher.py:_on_file_created():188] file/dir created: wandb\run-20201007_110232-1f2l0g5u\files\wandb-summary.json
